"notation","title","description","id","title_en","description_en","title_fr","description_fr","title_it","description_it","title_rm","description_rm"
"","Option A","","v6g","Option A","","Option A","","Opzione A","","Opziun A",""
"","Option B","","b4z","Option B","","Option B","","Opzione B","","Opziun B",""
"","Option C","","t2d","Option C","","Option C","","Opzione C","","Opziun C",""
